Sample	s_name	totalpairs	discardpairs	percdiscard	combopairs	inniepairs	outiepairs	uncombopairs	perccombo
ERR6913121_1	ERR6913121_1	60329	0	0	55440	0	0	4889	91.9
ERR6913164_1	ERR6913164_1	115593	0	0	105554	0	0	10039	91.32
ERR6913167_1	ERR6913167_1	185161	0	0	168385	0	0	16776	90.94
ERR6913217_1	ERR6913217_1	101549	0	0	95934	0	0	5615	94.47
ERR6913260_1	ERR6913260_1	13784	0	0	12990	0	0	794	94.24
ERR6913263_1	ERR6913263_1	24695	0	0	23172	0	0	1523	93.83
ERR6913301_1	ERR6913301_1	453964	0	0	374856	0	0	79108	82.57
ERR6913303_1	ERR6913303_1	1069874	0	0	847946	0	0	221928	79.26
ERR6913330_1	ERR6913330_1	824622	0	0	768019	0	0	56603	93.14
ERR6913332_1	ERR6913332_1	1244676	0	0	1113573	0	0	131103	89.47
