Sample	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FLASh_mqc-generalstats-flash-combopairs	FLASh_mqc-generalstats-flash-perccombo
ERR6913121_1		7.392796167680544	50.0	111.01158646753635	112	10.0	60329.0	55440	91.9
ERR6913121_2		7.372905236287693	50.0	111.00372954963616	112	10.0	60329.0		
ERR6913164_1		7.779577349769468	50.0	127.90042649641414	137	10.0	115593.0	105554	91.32
ERR6913164_2		7.708430276978746	50.0	127.89349701106468	137	10.0	115593.0		
ERR6913167_1		9.751704734967888	49.0	126.75393306365811	137	0.0	185161.0	168385	90.94
ERR6913167_2		9.702530163831682	49.0	126.7655499808275	137	0.0	185161.0		
ERR6913217_1		21.457621443834995	51.0	97.09705659336872	97	20.0	101549.0	95934	94.47
ERR6913217_2		21.50587401156092	51.0	97.09334409989266	97	20.0	101549.0		
ERR6913260_1		10.715322112594322	50.0	119.09438479396401	127	10.0	13784.0	12990	94.24
ERR6913260_2		10.751596053395247	50.0	119.06123041207196	127	10.0	13784.0		
ERR6913263_1		16.663292164405746	51.0	111.99898764932172	117	20.0	24695.0	23172	93.83
ERR6913263_2		16.83741648106904	51.0	112.01028548289128	117	20.0	24695.0		
ERR6913301_1		5.968865426647412	47.0	120.59477623776334	132	10.0	453964.0	374856	82.57
ERR6913301_2		5.894623079555728	47.0	120.59303601166613	132	10.0	453964.0		
ERR6913303_1		9.56006075042609	38.0	127.91033990918557	147	0.0	1069874.0	847946	79.26
ERR6913303_2		9.472403592763015	38.0	127.9013771715174	147	0.0	1069874.0		
ERR6913330_1		40.4656812260773	50.0	105.55423818428322	107	20.0	824622.0	768019	93.14
ERR6913330_2		40.305731278787306	50.0	105.5440456354548	107	20.0	824622.0		
ERR6913332_1		33.700165430345024	43.0	119.67939849406592	127	10.0	1244676.0	1113573	89.47
ERR6913332_2		33.4627537314357	43.0	119.6684430325643	127	10.0	1244676.0		
x_yuqzh_bowtie2_CoryAcc	0.6								
x_yuqzh_bowtie2_PhiX	0.0								
x_yuqzh_bowtie2_SC2	0.18								
